DiagramURL|MapPath|Map Name|Map Type|Level|Title|Statement Set Name|Statement Name|Statement Links HintText|Text
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A8F3D9E3EDD644F8E9D1806E9F6A10432&dgm=296AD6A018724D5DB540BD80C47E6AA9|Global Product Operations (GPO)\Project Delivery & Strategy\Mapping Initiatives\Nimbus COE Processes\02Akwok06\Draft\Web Link Test|Web Link Test|Draft|1 Draft Copy|Web Link Test|Customer Experience|L1: Pay for things|"Customer Experience - 3. L1: Pay for things
Customer Experience - 5. L1: Own a home
Customer Experience - 6. L1: Save and invest"|Test-ENG
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A8F3D9E3EDD644F8E9D1806E9F6A10432&dgm=296AD6A018724D5DB540BD80C47E6AA9|Global Product Operations (GPO)\Project Delivery & Strategy\Mapping Initiatives\Nimbus COE Processes\02Akwok06\Draft\Web Link Test|Web Link Test|Draft|1 Draft Copy|Web Link Test|Customer Experience|L1: Own a home|"Customer Experience - 3. L1: Pay for things
Customer Experience - 5. L1: Own a home
Customer Experience - 6. L1: Save and invest"|Test-ENG
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A8F3D9E3EDD644F8E9D1806E9F6A10432&dgm=296AD6A018724D5DB540BD80C47E6AA9|Global Product Operations (GPO)\Project Delivery & Strategy\Mapping Initiatives\Nimbus COE Processes\02Akwok06\Draft\Web Link Test|Web Link Test|Draft|1 Draft Copy|Web Link Test|Customer Experience|L1: Save and invest|"Customer Experience - 3. L1: Pay for things
Customer Experience - 5. L1: Own a home
Customer Experience - 6. L1: Save and invest"|Test-ENG
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A42C9E8AC32934340905567F0851C9BFD&dgm=6313635BB73147E7A6B49AFAD9490C97|03. Open Programs & Projects\Personal Banking Processes\00. Optimus\Everyday Banking\Draft\Everyday Banking Landing Page|Everyday Banking Landing Page|Draft|1.1 Draft Copy|Onboarding and Fulfillment|Customer Experience|L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Apply to open an account|"Customer Experience - 1.1.2. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Apply to open an account
Customer Experience - 1.2.2.1. Apply to Open an Account"|Open a New Deposit Account
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A42C9E8AC32934340905567F0851C9BFD&dgm=6313635BB73147E7A6B49AFAD9490C97|03. Open Programs & Projects\Personal Banking Processes\00. Optimus\Everyday Banking\Draft\Everyday Banking Landing Page|Everyday Banking Landing Page|Draft|1.1 Draft Copy|Onboarding and Fulfillment|Customer Experience|Apply to Open an Account|"Customer Experience - 1.1.2. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Apply to open an account
Customer Experience - 1.2.2.1. Apply to Open an Account"|Open a New Deposit Account
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A42C9E8AC32934340905567F0851C9BFD&dgm=6313635BB73147E7A6B49AFAD9490C97|03. Open Programs & Projects\Personal Banking Processes\00. Optimus\Everyday Banking\Draft\Everyday Banking Landing Page|Everyday Banking Landing Page|Draft|1.1 Draft Copy|Onboarding and Fulfillment|Customer Experience|L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Receive and activate my debit card|"Customer Experience - 1.1.4. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Receive and activate my debit card
Customer Experience - 1.2.4. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as an existing customer / L3: Receive and activate my debit card"|Issue or Replace Debit Card
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A42C9E8AC32934340905567F0851C9BFD&dgm=6313635BB73147E7A6B49AFAD9490C97|03. Open Programs & Projects\Personal Banking Processes\00. Optimus\Everyday Banking\Draft\Everyday Banking Landing Page|Everyday Banking Landing Page|Draft|1.1 Draft Copy|Onboarding and Fulfillment|Customer Experience|L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as an existing customer / L3: Receive and activate my debit card|"Customer Experience - 1.1.4. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Receive and activate my debit card
Customer Experience - 1.2.4. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as an existing customer / L3: Receive and activate my debit card"|Issue or Replace Debit Card
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A42C9E8AC32934340905567F0851C9BFD&dgm=2017F08EF53645669C0BCBDF4C41ECFE|03. Open Programs & Projects\Personal Banking Processes\00. Optimus\Everyday Banking\Draft\Everyday Banking Landing Page|Everyday Banking Landing Page|Draft|1.1.1G Draft Copy|Open a New Deposit Account - NACCC|Customer Experience|L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Learn about and evaluate my options|"Customer Experience - 1.1.1. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Learn about and evaluate my options
Customer Experience - 1.2.1. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as an existing customer / L3: Learn about and evaluate my options"|Discuss Features and Benefits of Types of Accounts
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A42C9E8AC32934340905567F0851C9BFD&dgm=2017F08EF53645669C0BCBDF4C41ECFE|03. Open Programs & Projects\Personal Banking Processes\00. Optimus\Everyday Banking\Draft\Everyday Banking Landing Page|Everyday Banking Landing Page|Draft|1.1.1G Draft Copy|Open a New Deposit Account - NACCC|Customer Experience|L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as an existing customer / L3: Learn about and evaluate my options|"Customer Experience - 1.1.1. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Learn about and evaluate my options
Customer Experience - 1.2.1. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as an existing customer / L3: Learn about and evaluate my options"|Discuss Features and Benefits of Types of Accounts
http://cmtowpnimweb01.ibg.adroot.bmogc.net/NimbusEnterprise/CtrlWebISAPI.dll/?__id=webDiagram.show&map=0%3A42C9E8AC32934340905567F0851C9BFD&dgm=00484D0866F646D6ACD562B366333E05|03. Open Programs & Projects\Personal Banking Processes\00. Optimus\Everyday Banking\Draft\Everyday Banking Landing Page|Everyday Banking Landing Page|Draft|1.1.1G.2 Draft Copy|Review Request|Customer Experience|L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Learn about and evaluate my options|"Customer Experience - 1.1.1. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as a new customer / L3: Learn about and evaluate my options
Customer Experience - 1.2.1. L1: Start with and grow with BMO / L2: Open an account (chequing, savings) as an existing customer / L3: Learn about and evaluate my options"|Advise Customer Account Opening Options
